ATTRIBUTE_colony	ATTRIBUTE_species	G1	G2	G3	G4	G5	G6	GNPSGROUP:2	GNPSGROUP:3	GNPSGROUP:4	GNPSGROUP:5	GNPSGROUP:6	GNPSGROUP:7	GNPSGROUP:Myrmecocystus mexicanus	GNPSGROUP:nd	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	1920845856.7762887	4844061109.103303	1723480813.0103405	37535082.36869582	4450766034.950767	3309171472.4970026	2980697677.037894	3585605515.602906	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1.0","main.cluster index_upperinput":"1.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=20&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.6139	0.6139	0	N/A	N/A	165796937268.5664	48	1	20	48	235.1651	1	235.1651	165796937268.5664
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	1877805422.5245032	2543045762.4882417	1338412242.8290644	1237282990.9630466	3032596950.8102007	3036249376.361164	2361481608.885787	2995297751.4477963	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	This Node is a Singleton	N/A	N/A	N/A	0.5708	0.5708	0	N/A	N/A	132590536020.32858	54	2	-1	54	219.0263	1	219.0263	132590536020.32858
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	781461835.3325686	1828137367.7120857	796239432.2698623	35242074.363754794	1956622812.1550734	1570633297.4959157	1292549633.3835373	1416205619.5319526	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3.0","main.cluster index_upperinput":"3.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=20&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.5708	0.5708	0	N/A	N/A	70786928091.89833	54	3	20	54	156.0420	1	156.0420	70786928091.89833
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	1442349768.3392045	1604715840.749996	1078994445.2920842	710914711.9018034	1902082026.5480154	1823303129.054142	1517186160.2373853	2538518481.682241	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4.0","main.cluster index_upperinput":"4.0"}	This Node is a Singleton	N/A	N/A	N/A	0.5874	0.5874	0	N/A	N/A	90098711224.37762	53	4	-1	53	381.0791	1	381.0791	90098711224.37762
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	487889721.3519612	1249210035.2421482	346418145.1674844	12564059.339965397	1153233746.1247745	895176929.1328467	767201494.4043375	783524809.9165238	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5.0","main.cluster index_upperinput":"5.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=154&task=d4aca8b0f5d342488086b66b755dfd21&show=true	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1	L-Pyroglutamic acid	0.926524	0.8752	0.8752	0	O=C(O)C1CCC(O)=N1	CCMSLIB00006708342	41559467221.93171	54	5	154	54	130.0499	1	130.0499	41559467221.93171
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	127543603.2486915	496711444.96877134	180410787.8932733	9880094.02354724	475375265.90382415	301401809.1539975	295853035.349384	328756642.41797507	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6.0","main.cluster index_upperinput":"6.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=20&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.5725	0.5725	0	N/A	N/A	16239292765.415468	50	6	20	50	273.1207	1	273.1207	16239292765.415468
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	125688870.2762164	882717135.772261	97510006.08563904	2592003.82437089	1039009156.8347402	637827415.3753885	560949910.2330385	566115066.4682549	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7.0","main.cluster index_upperinput":"7.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=458&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.8486	0.8486	0	N/A	N/A	30332616402.46581	50	7	458	50	274.0920	1	274.0920	30332616402.46581
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	38602840.69028213	1113182533.508104	22886655.602478534	989155.9210468075	837342059.6738455	579448547.131957	502881593.79560095	412483984.126883	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9.0","main.cluster index_upperinput":"9.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=201&task=d4aca8b0f5d342488086b66b755dfd21&show=true	1S/C12H23NO7/c1-3-6(2)8(11(17)18)13-5-12(19)10(16)9(15)7(4-14)20-12/h6-10,13-16,19H,3-5H2,1-2H3,(H,17,18)	Massbank:PR310824 N-Fructosyl isoleucine	0.783928	1.2362	1.2362	0	O=C(O)C(NCC1(O)(OC(CO)C(O)C1(O)))C(C)CC	CCMSLIB00005740456	26432425187.6127	52	9	201	52	294.1545	1	294.1545	26432425187.6127
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	155986846.98343822	531852870.57590634	154944804.50637853	7533941.58597352	424042198.742524	151158724.01537755	257119065.6256736	255370378.04941	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10.0","main.cluster index_upperinput":"10.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=154&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	(S)-(-)-pipecolic acid - 40.0 eV	0.9178850000000001	0.7427	0.7427	0	C1CCN[C@@H](C1)C(=O)O	CCMSLIB00006121913	13870440043.176266	54	10	154	54	130.0862	1	130.0862	13870440043.176266
nd,7,5,6,4,2,3	nd,Myrmecocystus mexicanus	0.0	0.0	0.0	0.0	0.0	0.0	23602186.236996084	531683625.3566455	18143214.369465977	935691.2235250223	466548341.1156013	261817630.04732075	257618867.0630991	244631090.63614994	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=d4aca8b0f5d342488086b66b755dfd21&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12.0","main.cluster index_upperinput":"12.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=201&task=d4aca8b0f5d342488086b66b755dfd21&show=true	N/A	N/A	N/A	0.7701	0.7701	0	N/A	N/A	13807516609.991758	53	12	201	53	280.1389	1	280.1389	13807516609.991758
