CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
9254	10198	2	0.8125	0.000
10198	10227	2	0.8025	-0.000
9254	10227	2	0.8109	-0.000
9197	9292	3	0.8185	-0.090
8651	15305	3	0.7637	0.000
4468	8409	3	0.7325	0.148
15302	15305	3	0.7925	0.000
9197	15302	3	0.7989	-0.039
8409	9197	3	0.9598	0.000
9292	16009	3	0.819	0.090
8409	15302	3	0.8255	-0.039
8651	15302	3	0.797	0.000
8651	9197	3	0.7513	0.039
4308	8420	3	0.9666	-0.000
4308	4468	3	0.7336	-0.148
8409	9292	3	0.8355	-0.090
4308	15302	3	0.8099	-0.039
4308	8409	3	0.9666	-0.000
8420	15305	3	0.733	-0.039
9182	16009	3	0.7683	0.090
9197	15305	3	0.7124	-0.039
15305	16009	3	0.7225	0.039
8651	16009	3	0.7542	0.039
9292	15302	3	0.7292	0.051
8409	9182	3	0.7849	-0.090
8420	16009	3	0.9654	-0.000
4468	16009	3	0.7371	0.148
8420	8651	3	0.7582	-0.039
9182	9292	3	0.9388	0.000
15302	16009	3	0.8116	0.039
8409	8651	3	0.7582	-0.039
9197	16009	3	0.9451	-0.000
8420	15302	3	0.8255	-0.039
8420	9182	3	0.7849	-0.090
4308	16009	3	0.9527	-0.000
8409	8420	3	1.0	0.000
9182	9197	3	0.7643	0.090
4308	15305	3	0.7222	-0.039
4308	9182	3	0.7695	-0.090
4308	9292	3	0.8199	-0.090
4308	9197	3	0.9545	0.000
4468	8420	3	0.7325	0.148
4468	9197	3	0.7276	0.148
8409	16009	3	0.9654	-0.000
8409	15305	3	0.733	-0.039
8420	9292	3	0.8355	-0.090
8651	9292	3	0.7015	-0.051
8420	9197	3	0.9598	0.000
4308	8651	3	0.7433	-0.039
109	2141	4	0.9079	-28.031
109	3862	4	0.9238	-14.016
771	3930	4	0.8169	9.000
3862	3930	4	0.8094	17.027
1078	1360	5	0.7569	-112.125
6807	7572	6	0.8424	-0.021
2361	8842	6	0.8646	-0.013
13	16581	6	0.9462	127.016
14311	15648	6	0.906	-0.018
494	6807	6	0.8389	0.082
133	571	6	0.9287	-35.037
7466	15084	6	0.9384	-0.012
13	3919	6	0.9413	145.026
13	4398	6	0.9332	-35.037
198	14311	6	1.0	0.009
51	65	6	0.8362	-42.011
763	13727	6	0.8963	-0.012
3307	3413	6	0.9573	0.012
2361	7466	6	0.8603	2.033
136	271	6	0.9384	-17.026
815	14885	6	0.9455	-0.000
6683	13067	6	0.9627	-0.000
4712	15962	6	0.962	0.000
65	15356	6	0.9159	-0.000
494	14291	6	0.8135	18.054
198	9395	6	0.8726	-0.000
3413	15003	6	0.9438	-0.012
3919	16581	6	0.9526	-18.011
13075	15190	6	0.8926	-0.000
74	271	6	0.9444	18.011
22	74	6	0.9393	-180.063
1542	15251	6	0.9357	0.000
15003	16196	6	0.9546	-0.000
8256	15308	6	0.963	-0.010
15323	15388	6	0.9593	0.007
15962	16682	6	0.9321	0.000
14	16581	6	0.9442	162.053
4712	15250	6	0.97	0.000
51	15308	6	0.8086	-42.011
7553	7842	6	0.941	0.000
1618	16196	6	0.9586	-0.000
70	15084	6	0.9608	-0.006
1527	8942	6	0.9507	-0.008
65	4032	6	0.8395	-0.000
13	15962	6	0.9375	-35.037
8942	13067	6	0.926	-18.003
271	9118	6	0.9526	-18.011
763	8935	6	1.0	-0.012
3882	13067	6	0.951	0.007
4032	6807	6	0.814	0.031
571	9118	6	0.9366	162.052
7572	7842	6	0.9561	-0.020
1618	15084	6	0.947	0.000
8935	13727	6	0.8963	0.000
1527	12833	6	0.9	-0.045
307	3882	6	0.9282	28.031
1542	4559	6	0.8171	0.000
12390	16196	6	0.8335	-0.006
51	8256	6	0.8174	-42.001
4712	16581	6	0.9362	162.053
7842	8256	6	0.9459	0.020
9395	14311	6	0.8726	0.009
9395	16569	6	0.863	0.000
8256	15356	6	0.9775	-0.010
3786	14782	6	0.9155	0.052
14291	15648	6	0.8878	-0.000
571	14138	6	1.0	0.000
4559	15356	6	0.8093	0.036
7812	9046	6	0.9674	0.009
3882	4398	6	0.9293	-162.053
1308	4956	6	0.8191	180.015
3919	6683	6	0.9479	-18.003
8842	12427	6	0.9301	-0.000
3413	7466	6	0.9348	0.000
14	6683	6	0.9511	162.060
9118	15962	6	0.933	162.053
7812	15323	6	0.9613	0.009
12126	15648	6	0.9317	-0.008
65	7553	6	0.9232	-0.010
70	3307	6	0.9358	-0.006
13	14	6	0.9401	-35.037
65	8256	6	0.9251	0.010
74	14138	6	0.9364	-162.052
15250	15962	6	0.9724	0.000
7466	15003	6	0.9565	-0.012
136	14885	6	0.9229	-18.009
307	10311	6	0.9393	-43.990
15084	16196	6	0.928	-0.000
133	14138	6	0.9287	-35.037
2361	15084	6	0.8571	2.021
12126	16023	6	0.9382	0.000
12126	14311	6	0.819	0.009
1618	3413	6	0.9501	0.012
133	815	6	0.9117	144.043
65	7842	6	0.9478	-0.010
3307	16196	6	0.9523	0.000
3307	8842	6	0.8172	-2.034
14782	16024	6	1.0	0.000
74	133	6	0.9431	-127.015
198	494	6	0.8009	-18.062
3413	15084	6	0.9288	-0.012
1618	15003	6	0.9664	-0.000
763	12427	6	0.9628	0.012
7842	15356	6	0.9415	0.010
1527	4956	6	0.9632	-0.016
9046	13067	6	0.9321	0.007
9395	12126	6	0.9457	0.000
3786	16024	6	0.9155	0.052
6807	15308	6	0.848	-0.030
7842	15308	6	0.9281	0.010
1618	2361	6	0.8586	-2.021
15250	16682	6	0.9393	0.000
8842	15084	6	0.8322	2.034
70	1618	6	0.9521	-0.006
7553	7572	6	0.9812	0.020
133	271	6	0.9359	145.026
1618	15251	6	0.8307	-60.052
70	15003	6	0.944	-0.006
12126	14934	6	0.8726	0.000
15308	15356	6	0.9664	0.000
15648	16569	6	0.8632	0.008
7812	15388	6	0.9642	0.017
22	9118	6	0.9507	-180.064
3919	4712	6	0.9271	-180.063
74	9118	6	0.9684	-0.000
3919	8942	6	0.9691	-0.000
9118	14138	6	0.9366	-162.052
7572	15308	6	0.963	-0.010
133	16682	6	0.9179	289.068
12126	16569	6	0.9043	0.000
2176	16196	6	0.853	2.021
3785	3786	6	1.0	0.000
9118	15250	6	0.9373	162.053
198	14291	6	0.9832	-0.008
3307	7466	6	0.9373	0.012
15003	15251	6	0.8369	-60.052
70	2176	6	0.8552	-2.027
133	9118	6	0.9486	127.015
198	15648	6	0.9045	-0.009
1618	3307	6	0.96	-0.000
494	14782	6	0.971	0.052
4712	6683	6	0.94	162.060
22	133	6	0.9256	-307.078
1618	7466	6	0.953	0.012
4398	4712	6	0.947	0.000
14291	16023	6	0.855	0.008
271	571	6	0.9424	-180.063
8942	12833	6	0.9149	-0.036
74	14885	6	0.9246	17.028
9026	13075	6	0.8441	14.016
14311	16023	6	0.8667	-0.009
15648	16023	6	0.9499	0.008
3428	15251	6	0.8647	14.016
1618	2176	6	0.8586	-2.021
9046	15388	6	0.9553	0.007
4259	8877	6	0.8126	-0.016
65	6807	6	0.8328	0.030
65	15308	6	0.9209	-0.000
2361	16196	6	0.853	2.021
3919	13067	6	0.9364	-18.003
22	4712	6	0.9285	-18.011
9395	15648	6	0.971	-0.008
2176	7466	6	0.8603	2.033
1527	3919	6	0.9377	-0.008
13	4712	6	0.9392	-35.037
4398	16581	6	0.9357	162.053
51	4956	6	0.8136	-18.018
8942	16581	6	0.9364	-18.011
14	4712	6	0.9644	0.000
14	9118	6	0.9394	-162.053
2176	15003	6	0.8634	2.021
13	15250	6	0.9445	-35.037
14291	14311	6	0.9832	0.017
3785	14782	6	0.9155	0.052
1542	5584	6	0.8704	0.000
2176	15084	6	0.8571	2.021
4398	13067	6	0.9252	162.060
7572	8256	6	0.9786	0.000
3785	16024	6	0.9155	0.052
7553	15356	6	0.9771	0.010
3307	15084	6	0.9365	0.000
3413	16196	6	0.9672	-0.012
3882	6683	6	0.96	0.008
2176	8877	6	0.8646	-0.016
51	15356	6	0.8006	-42.011
3882	16581	6	0.9703	0.000
271	14138	6	0.9424	-180.063
6683	15250	6	0.947	-162.060
8842	8877	6	1.0	-0.003
4559	7553	6	0.8104	0.026
2361	15003	6	0.8634	2.021
14	4398	6	0.9664	0.000
15003	15084	6	0.9449	0.000
6807	8256	6	0.8286	-0.021
7553	15308	6	0.9577	0.010
9395	16023	6	0.9734	0.000
2361	8877	6	0.8646	-0.016
65	7572	6	0.9363	0.010
494	14311	6	0.8009	18.071
136	9118	6	0.9552	-35.038
3882	3919	6	0.9298	18.011
74	136	6	0.9412	35.037
3882	4712	6	0.9275	-162.053
4559	8256	6	0.8027	0.046
4259	8842	6	0.8126	-0.013
9395	14291	6	0.8558	-0.008
320	10311	6	0.9076	118.063
70	3413	6	0.9095	0.006
22	136	6	0.933	-145.026
51	7572	6	0.8399	-42.001
70	2361	6	0.8552	-2.027
6807	7842	6	0.8196	-0.040
7466	15251	6	0.8267	-60.063
2361	3307	6	0.8553	2.021
7466	16196	6	0.9443	-0.012
198	12126	6	0.819	-0.000
74	815	6	0.9161	17.029
4398	6683	6	0.9393	162.060
198	16023	6	0.8667	-0.000
1542	3428	6	0.9186	-14.016
51	7553	6	0.8224	-42.021
22	15250	6	0.9356	-18.011
3919	15962	6	0.9324	-180.063
494	3786	6	0.9521	-0.000
13067	15323	6	0.9304	-0.007
8877	12427	6	0.9301	0.002
14934	15648	6	0.8209	-0.008
74	571	6	0.9364	-162.052
4398	15250	6	0.9574	0.000
14	15250	6	0.9756	0.000
6683	16581	6	0.9696	-0.008
8935	12427	6	0.9628	0.024
3307	15003	6	0.95	0.000
2176	3307	6	0.8553	2.021
13067	16581	6	0.9566	-0.007
14934	16023	6	0.8141	0.000
5584	15251	6	0.9299	0.000
14	3882	6	0.9422	162.053
51	7842	6	0.8398	-42.021
15250	16581	6	0.9431	162.053
16023	16569	6	0.8416	0.000
7572	15356	6	0.9792	-0.010
7553	8256	6	0.9758	0.020
6807	7553	6	0.8297	-0.040
13	6683	6	0.9394	127.023
70	7466	6	0.9221	0.006
70	16196	6	0.9279	-0.006
2176	2361	6	1.0	0.000
4559	15251	6	0.8539	0.000
307	320	6	0.9038	-162.053
9395	14934	6	0.8293	0.000
494	3785	6	0.9521	-0.000
1542	13075	6	0.8466	-14.016
14	15962	6	0.9732	0.000
9046	15323	6	0.9704	0.000
2176	8842	6	0.8646	-0.013
1542	9026	6	0.8498	-28.031
6683	15962	6	0.945	-162.060
4559	7572	6	0.8113	0.046
3428	13075	6	0.9037	0.000
14	16682	6	0.9435	0.000
14934	16569	6	0.9412	0.000
4559	5584	6	0.8952	0.000
4398	15962	6	0.9542	0.000
4032	4900	6	0.8447	-0.000
6807	15356	6	0.8323	-0.030
6095	8256	6	0.8017	0.046
494	16024	6	0.971	0.052
299	2708	7	0.7895	130.045
299	7351	7	0.8154	174.051
299	1761	7	0.8349	80.045
1761	2708	7	0.8854	50.000
299	1803	7	0.8604	174.051
1803	7351	7	0.8383	0.000
2489	12718	8	0.8518	-2.014
309	12638	8	0.8286	-126.977
55	15450	8	0.8797	130.107
235	10767	8	1.0	0.005
235	287	8	0.9718	-14.015
852	6111	8	0.9322	46.041
2316	6111	8	0.8653	0.000
4818	6936	8	0.8767	-40.971
9418	13530	8	0.8514	36.094
9077	11276	8	0.8769	82.050
12638	16683	8	0.9805	28.031
2855	16683	8	0.9039	0.028
15365	15373	8	0.8517	-29.975
2293	8382	8	0.9596	0.036
391	4144	8	0.8774	-28.031
1948	2140	8	0.8993	0.000
4858	13777	8	0.8254	162.053
55	6111	8	0.9296	-100.016
4595	12637	8	0.8568	-162.052
4733	5985	8	1.0	0.000
12639	12644	8	0.8776	15.995
287	4744	8	0.8922	-0.000
6111	16804	8	0.865	21.081
1073	3884	8	0.8334	80.136
4269	13150	8	0.9407	-26.016
4595	5985	8	1.0	0.000
238	6111	8	0.8867	-21.081
714	734	8	1.0	0.000
13530	16010	8	0.8482	-36.094
215	6131	8	0.9406	-0.000
1073	6111	8	0.9273	46.042
4858	16855	8	0.9479	0.000
55	244	8	0.946	0.000
4858	7407	8	0.825	162.053
588	16683	8	0.8695	162.053
238	16804	8	0.8711	0.000
12644	16291	8	0.8712	26.016
1689	15415	8	0.847	-35.192
287	10767	8	0.9718	14.020
471	12638	8	0.8872	-80.047
2489	16683	8	0.8522	42.011
11276	15450	8	0.958	-0.000
3884	12657	8	0.9456	-44.026
4818	16291	8	0.8719	-42.977
215	244	8	0.9473	-18.010
2316	4415	8	0.8244	-65.974
1092	1689	8	0.8363	-161.972
9418	16291	8	0.8734	36.086
235	14951	8	0.9724	-14.015
471	852	8	0.9436	-132.151
2293	16057	8	0.9202	0.036
1394	12644	8	0.9004	79.989
852	16683	8	0.9132	80.135
55	1073	8	0.9278	-146.058
4269	12644	8	0.8975	-26.016
3884	12666	8	0.8338	-190.084
471	16683	8	0.8981	-52.016
4269	4818	8	0.8945	42.977
235	4744	8	0.8849	-14.016
55	215	8	0.9656	18.010
12639	13150	8	0.9159	15.995
852	3884	8	0.8861	80.135
4269	12639	8	0.9123	-42.011
4269	16010	8	0.8941	-36.086
961	12644	8	0.8393	-0.000
28	471	8	0.9236	16.969
225	238	8	0.8816	-113.021
471	6111	8	0.9336	-86.109
55	113	8	0.9661	44.026
12637	12666	8	0.9225	-28.032
238	4269	8	0.8704	173.050
