	feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
0	10032	14.0	0.20669806	ISDB	http://www.wikidata.org/entity/Q105145650	KSXULPOQIKTIMP-JPRZGNOKSA-N	InChI=1S/C21H31ClO4/c1-13(2)7-6-10-20(3)16-9-8-14(19(25)26-5)15(12-23)21(16,4)18(24)11-17(20)22/h7-8,12,15-18,24H,6,9-11H2,1-5H3/t15-,16-,17-,18-,20-,21+/m0/s1	COC(=O)C1=CC[C@H]2[C@](C)(CCC=C(C)C)[C@@H](Cl)C[C@H](O)[C@]2(C)[C@H]1C=O	C21H31ClO4	nan	382.19108715199997	methyl (1R,4aR,5S,6S,8S,8aS)-6-chloro-1-formyl-8-hydroxy-5,8a-dimethyl-5-(4-methylpent-3-en-1-yl)-1,4,4a,6,7,8-hexahydronaphthalene-2-carboxylate	KSXULPOQIKTIMP	Terpenoids	Diterpenoids	Sacculatane diterpenoids	http://www.wikidata.org/entity/Q2776605	Negombata magnifica	986132.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Poecilosclerida']	['Latrunculiidae']	['Unknown']	['Negombata']	['Negombata magnifica']	nan	['Eukaryota']	['Metazoa']	nan	nan	nan	nan	nan	nan	nan	2	0	2.8267922401428223	1	-1	nan	nan	nan	nan	nan	nan
1	1004	19.0	0.48556262	ISDB	http://www.wikidata.org/entity/Q105153699	LLRZUAWETKPZJO-VFABXPAXSA-N	InChI=1S/C14H24O2/c1-3-4-5-6-7-8-9-10-11-12-13-16-14(2)15/h4-7H,3,8-13H2,1-2H3/b5-4?,7-6+	CCC=C/C=C/CCCCCCOC(C)=O	C14H24O2	nan	224.177630008	(7E)-dodeca-7,9-dien-1-yl acetate	LLRZUAWETKPZJO	Fatty acids	Fatty esters	Wax monoesters	http://www.wikidata.org/entity/Q815051	Lobesia botrana	283276.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Lepidoptera']	['Tortricidae']	['Olethreutini']	['Lobesia']	['Lobesia botrana']	nan	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	nan	nan	nan	nan	nan	4	1	6.4422502517700195	1	30	Fatty acids	0.7176470588235294	Monoterpenoids	0.6705882352941176	Acyclic monoterpenoids	0.4117647058823529
2	1006	6.0	0.5336755	ISDB	http://www.wikidata.org/entity/Q76303345	GZUALOWLHSCENG-SKVAFPRGSA-N	InChI=1S/C12H22O3/c1-2-3-4-5-6-7-8-9-11(13)10-12(14)15/h7-8,11,13H,2-6,9-10H2,1H3,(H,14,15)/b8-7-/t11-/m1/s1	CCCCCC/C=C\C[C@@H](O)CC(=O)O	C12H22O3	nan	214.15689456400003	(3R,5Z)-3-hydroxydodec-5-enoic acid	GZUALOWLHSCENG	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	http://www.wikidata.org/entity/Q105024621	Globisporangium ultimum	504918.0	['Eukaryota']	['Unknown']	['Unknown']	['Peronosporomycetes']	['Unknown']	['Unknown']	['Unknown']	['Pythium']	['Globisporangium ultimum']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	3.13470196723938	1	-1	nan	nan	nan	nan	nan	nan
3	1007	14.0	0.28992632	ISDB	http://www.wikidata.org/entity/Q104403702	IZBLVPXRSYOQND-VOTSOKGWSA-N	InChI=1S/C22H32O6/c1-12-9-16-13(2)11-26-22(5,7-6-8-23)21-18(16)19(20(12)27-15(4)25)17(28-21)10-14(3)24/h6-8,12-13,16-21H,9-11H2,1-5H3/b7-6+	CC(=O)CC1OC2C3C(CC(C)C(OC(C)=O)C13)C(C)COC2(C)/C=C/C=O	C22H32O6	nan	392.219888744	6,9,12-trimethyl-12-[(1E)-3-oxoprop-1-en-1-yl]-3-(2-oxopropyl)-2,11-dioxatricyclo[6.4.1.0⁴,¹³]tridecan-5-yl acetate	IZBLVPXRSYOQND	Terpenoids	Diterpenoids	Asbestinane diterpenoids	http://www.wikidata.org/entity/Q1924270	Briareum asbestinum	277297.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Briareidae']	['Unknown']	['Briareum']	['Briareum asbestinum']	nan	['Eukaryota']	['Metazoa']	nan	nan	nan	nan	nan	nan	nan	2	2	4.15970516204834	1	419	Terpenoids	0.7777777777777778	Diterpenoids	0.4444444444444444	Xenicane diterpenoids	0.3333333333333333
4	10071	3.0	0.59900945	ISDB	http://www.wikidata.org/entity/Q27269839	POPNTVRHTZDEBW-UHFFFAOYSA-N	InChI=1S/C13H24O2/c1-5-13(14)15-10-9-12(4)8-6-7-11(2)3/h7,12H,5-6,8-10H2,1-4H3	CCC(=O)OCCC(C)CCC=C(C)C	C13H24O2	nan	212.177630008	citronellyl propionate	POPNTVRHTZDEBW	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	http://www.wikidata.org/entity/Q15208935	Pelargonium quercifolium	795465.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Geraniales']	['Geraniaceae']	['Unknown']	['Pelargonium']	['Pelargonium quercifolium']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	2	4.396037817001343	1	91	Fatty acids	0.6346153846153846	Monoterpenoids	0.8076923076923077	Guaiane sesquiterpenoids	0.3269230769230769
5	10086	1.0	0.2684621	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	MEHUJCGAYMDLEL	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	1.0738483667373657	1	716	nan	nan	nan	nan	nan	nan
6	10088	1.0	0.52046555	ISDB	http://www.wikidata.org/entity/Q5848267	PIGOPELHGLPKLL-YFKPBYRVSA-N	InChI=1S/C6H9N3O2/c7-5(6(10)11)4-9-3-1-2-8-9/h1-3,5H,4,7H2,(H,10,11)/t5-/m0/s1	N[C@@H](Cn1cccn1)C(=O)O	C6H9N3O2	nan	155.069476528	3-(pyrazol-1-yl)-L-alanine	PIGOPELHGLPKLL	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q1080188	Daphnia pulex	59086.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Branchiopoda']	['Diplostraca']	['Daphniidae']	['Unknown']	['Daphnia']	['Daphnia pulex']	nan	['Eukaryota']	['Metazoa']	['Arthropoda']	nan	nan	nan	nan	nan	nan	3	3	6.581862449645996	1	77	Amino acids and Peptides	0.3157894736842105	Small peptides	0.2631578947368421	Aminoacids	0.2631578947368421
7	10134	1.0	0.26117775	ISDB	http://www.wikidata.org/entity/Q27102177	OTTXIFWBPRRYOG-UHFFFAOYSA-N	InChI=1S/C6H10O5/c7-4(6(10)11)2-1-3-5(8)9/h4,7H,1-3H2,(H,8,9)(H,10,11)	O=C(O)CCCC(O)C(=O)O	C6H10O5	nan	162.05282342	α-hydroxyadipic acid	OTTXIFWBPRRYOG	Fatty acids	Fatty Acids and Conjugates	Dicarboxylic acids	http://www.wikidata.org/entity/Q136410	Aloe africana	138839.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asparagales']	['Asphodelaceae']	['Unknown']	['Aloe']	['Aloe africana']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	2.044711112976074	1	32	Terpenoids	0.2857142857142857	Sesquiterpenoids	0.25	Aromadendrane sesquiterpenoids	0.21428571428571427
8	10150	2.0	0.70092046	ISDB	http://www.wikidata.org/entity/Q105172740	MUUFCNJBWLIDFJ-KCQAQPDRSA-N	InChI=1S/C15H18O2/c1-9-5-4-6-15(3)8-13-11(7-12(9)15)10(2)14(16)17-13/h4-6,12-13H,7-8H2,1-3H3/t12-,13-,15+/m0/s1	CC1=CC=C[C@]2(C)C[C@@H]3OC(=O)C(C)=C3C[C@@H]12	C15H18O2	nan	230.130679816	(4aS,8aS,9aS)-3,5,8a-trimethyl-4H,4aH,9H,9aH-naphtho[2,3-b]furan-2-one	MUUFCNJBWLIDFJ	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q737745	Tubipora musica	552152.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Tubiporidae']	['Unknown']	['Tubipora']	['Tubipora musica']	nan	['Eukaryota']	['Metazoa']	nan	nan	nan	nan	nan	nan	nan	2	3	6.30368185043335	1	29	Terpenoids	0.9310344827586207	Sesquiterpenoids	0.9310344827586207	Eudesmane sesquiterpenoids	0.5689655172413793
9	10154	23.0	0.40938255	ISDB	http://www.wikidata.org/entity/Q284072	HFPZCAJZSCWRBC-UHFFFAOYSA-N	InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3	Cc1ccc(C(C)C)cc1	C10H14	nan	134.109550448	cymene	HFPZCAJZSCWRBC	Terpenoids	Monoterpenoids	Menthane monoterpenoids	http://www.wikidata.org/entity/Q683592	Pieris napi	731676.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Lepidoptera']	['Pieridae']	['Pierini']	['Pieris']	['Pieris napi']	nan	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	nan	nan	nan	nan	nan	4	0	5.637530326843262	1	-1	nan	nan	nan	nan	nan	nan
