feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	structure_taxonomy_npclassifier_02superclass_consensus	structure_taxonomy_npclassifier_03class_consensus	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	score_taxo	score_max_consistency	final_score
17051	658	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids	0.28286144	ISDB	MVKMILRTEGNNPQ-UHFFFAOYSA-N	InChI=1S/C7H7N5/c1-11(4-9)7-6(3-8)12(2)5-10-7/h5H,1-2H3	CN(C#N)c1ncn(C)c1C#N	C7H7N5		161.070145224	MVKMILRTEGNNPQ	Alkaloids			Streptomyces	772892.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Unknown']	0	1	1.6314457654953003
16978	583	Polyketides	Cyclic polyketides	2-pyrone derivatives	0.0	MS1_match	JUGNVZAVZDAHMJ-UPGMHYFXSA-N	InChI=1S/C20H36O6/c1-2-3-4-5-6-7-14(21)8-15(22)9-16(23)10-17-11-18-12-19(25-17)13-20(24)26-18/h14-19,21-23H,2-13H2,1H3/t14-,15-,16-,17-,18-,19+/m1/s1	CCCCCCC[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H]1C[C@@H]2C[C@@H](CC(=O)O2)O1	C20H36O6	pos_2_2sodium	372.25118887199994	JUGNVZAVZDAHMJ	Polyketides	Cyclic polyketides	2-pyrone derivatives	Polyrhachis lamellidens	507108.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Camponotini']	['Polyrhachis']	['Polyrhachis lamellidens']	6	3	7.5
16871	8	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	0.0	MS1_match	WVMBPWMAQDVZCM-UHFFFAOYSA-N	InChI=1S/C8H9NO2/c1-9-7-5-3-2-4-6(7)8(10)11/h2-5,9H,1H3,(H,10,11)	CNc1ccccc1C(=O)O	C8H9NO2	pos_2MH	151.063328528	WVMBPWMAQDVZCM	Alkaloids	Anthranilic acid alkaloids	Anthranillic acid derivatives	Aenictus	169919.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Unknown']	['Aenictus']	['Unknown']	6	1	6.5
16856	8	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	0.4215556	ISDB	XYKZCBBJCYCJNG-SNGHUZOHSA-N	InChI=1S/C24H32O7S/c1-22-9-7-16(31-32(26,27)28)11-15(22)4-5-18-17(22)8-10-23(2)19(12-20-24(18,23)30-20)14-3-6-21(25)29-13-14/h3,6,13,15-20H,4-5,7-12H2,1-2H3,(H,26,27,28)/t15?,16-,17?,18+,19+,20+,22-,23+,24+/m0/s1	C[C@]12CC[C@H](OS(=O)(=O)O)CC1CC[C@@H]1C2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@H]3O[C@@]312	C24H32O7S		464.186874364	XYKZCBBJCYCJNG	Terpenoids	Steroids	Bufadienolides	Bufo bufo	889350.0	['Eukaryota']	['Metazoa']	['Chordata']	['Amphibia']	['Anura']	['Bufonidae']	['Unknown']	['Bufo']	['Bufo bufo']	2	0	3.686222553253174
16855	8	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	0.4215556	ISDB	XYKZCBBJCYCJNG-SNGHUZOHSA-N	InChI=1S/C24H32O7S/c1-22-9-7-16(31-32(26,27)28)11-15(22)4-5-18-17(22)8-10-23(2)19(12-20-24(18,23)30-20)14-3-6-21(25)29-13-14/h3,6,13,15-20H,4-5,7-12H2,1-2H3,(H,26,27,28)/t15?,16-,17?,18+,19+,20+,22-,23+,24+/m0/s1	C[C@]12CC[C@H](OS(=O)(=O)O)CC1CC[C@@H]1C2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)C[C@H]3O[C@@]312	C24H32O7S		464.186874364	XYKZCBBJCYCJNG	Terpenoids	Steroids	Bufadienolides	Bufo bufo	889350.0	['Eukaryota']	['Metazoa']	['Chordata']	['Amphibia']	['Anura']	['Bufonidae']	['Unknown']	['Bufo']	['Bufo bufo']	2	0	3.686222553253174
16852	38	Alkaloids	Ornithine alkaloids	Polyamines	0.585321	ISDB	ATHGHQPFGPMSJY-UHFFFAOYSA-N	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	NCCCCNCCCN	C7H19N3		145.15789760799998	ATHGHQPFGPMSJY	Alkaloids	Ornithine alkaloids	Polyamines	Apis cerana	625771.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Apidae']	['Apini']	['Apis']	['Apis cerana']	5	3	8.841283798217773
16818	-1				0.49030283	ISDB	BXJGUBZTZWCMEX-UHFFFAOYSA-N	InChI=1S/C8H10O2/c1-5-6(2)8(10)4-3-7(5)9/h3-4,9-10H,1-2H3	Cc1c(O)ccc(O)c1C	C8H10O2		138.06807956	BXJGUBZTZWCMEX				Paeonia lactiflora	352877.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Saxifragales']	['Paeoniaceae']	['Unknown']	['Paeonia']	['Paeonia lactiflora']	0	0	1.9612113237380981
16739	107	Polyketides	Lysine alkaloids	Piperidine alkaloids	0.5808655	ISDB	INKMFMILWFCUFK-UHFFFAOYSA-N	InChI=1S/C18H29NO3/c1-7-12(4)10-13(5)16-18(6,22)17(21)14(15(20)8-2)11-19(16)9-3/h10-12,16,22H,7-9H2,1-6H3	CCC(=O)C1=CN(CC)C(C(C)=CC(C)CC)C(C)(O)C1=O	C18H29NO3		307.21474378799996	INKMFMILWFCUFK	Polyketides			Fusarium neocosmosporiellum	149805.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Hypocreales']	['Nectriaceae']	['Unknown']	['Fusarium']	['Fusarium neocosmosporiellum']	1	1	3.8234620094299316
16724	77	Amino acids and Peptides	Small peptides	Aminoacids	0.5131625	ISDB	PIGOPELHGLPKLL-YFKPBYRVSA-N	InChI=1S/C6H9N3O2/c7-5(6(10)11)4-9-3-1-2-8-9/h1-3,5H,4,7H2,(H,10,11)/t5-/m0/s1	N[C@@H](Cn1cccn1)C(=O)O	C6H9N3O2		155.069476528	PIGOPELHGLPKLL	Amino acids and Peptides	Small peptides	Aminoacids	Daphnia pulex	59086.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Branchiopoda']	['Diplostraca']	['Daphniidae']	['Unknown']	['Daphnia']	['Daphnia pulex']	3	3	6.552649974822998
16575	793	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	0.38832247	ISDB	SBUNCVPZQXOWKJ-WDZSVEBTSA-N	InChI=1S/C16H25ClO6/c1-9(2)11-4-5-16(22,8-17)13(14(19)20)12(11)6-10(7-18)15(21)23-3/h6,9,11-13,18,22H,4-5,7-8H2,1-3H3,(H,19,20)/b10-6+/t11-,12-,13-,16-/m1/s1	COC(=O)/C(=C/[C@H]1[C@H](C(=O)O)[C@](O)(CCl)CC[C@@H]1C(C)C)CO	C16H25ClO6		348.1339662	SBUNCVPZQXOWKJ	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	Rhinocladiella similis	120625.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Chaetothyriales']	['Herpotrichiellaceae']	['Unknown']	['Rhinocladiella']	['Rhinocladiella similis']	1	3	4.053289890289307
